Green Stained Glass;minecraft:green_stained_glass;#667f33;(102, 127, 51)
Green Glazed Terracotta;minecraft:green_glazed_terracotta;#758e43;(117, 142, 67)
Calcite;minecraft:calcite;#dfe0dd;(223, 224, 221)
Mossy Cobblestone;minecraft:mossy_cobblestone;#6e765f;(110, 118, 95)
Azalea Leaves;minecraft:azalea_leaves;#5a732c;(90, 115, 44)
Mossy Stone Bricks;minecraft:mossy_stone_bricks;#737969;(115, 121, 105)
Jungle Leaves;minecraft:jungle_leaves;#49671a;(73, 103, 26)
Mangrove Leaves;minecraft:mangrove_leaves;#3c5617;(60, 86, 23)
Oak Leaves;minecraft:oak_leaves;#43601a;(67, 96, 26)
Acacia Leaves;minecraft:acacia_leaves;#45631b;(69, 99, 27)
Dark Oak Leaves;minecraft:dark_oak_leaves;#46651b;(70, 101, 27)
Lime Stained Glass;minecraft:lime_stained_glass;#7fcc19;(127, 204, 25)
Lime Concrete Powder;minecraft:lime_concrete_powder;#7dbd2a;(125, 189, 42)
Grass Block;minecraft:grass_block;#536d33;(83, 109, 51)
Dried Kelp Block;minecraft:dried_kelp_block;#323b27;(50, 59, 39)
Lime Wool;minecraft:lime_wool;#70b91a;(112, 185, 26)
Birch Leaves;minecraft:birch_leaves;#41542b;(65, 84, 43)
Lime Concrete;minecraft:lime_concrete;#5ea918;(94, 169, 24)
Pale Oak Leaves;minecraft:pale_oak_leaves;#686D66;(104, 109, 102)
Reinforced Deepslate;minecraft:reinforced_deepslate;#50534f;(80, 83, 79)
Slime Block;minecraft:slime_block;#6fc05b;(111, 192, 91)
Pale Moss Block;minecraft:pale_moss_block;#4A4F49;(74, 79, 73)
Verdant Froglight;minecraft:verdant_froglight;#e5f4e4;(229, 244, 228)
Weathered Cut Copper;minecraft:weathered_cut_copper;#6d916c;(109, 145, 108)
Waxed Weathered Cut Copper;minecraft:waxed_weathered_cut_copper;#6d916c;(109, 145, 108)
Chiseled Tuff Bricks;minecraft:chiseled_tuff_bricks;#646864;(100, 104, 100)
Spruce Leaves;minecraft:spruce_leaves;#2f4b2f;(47, 75, 47)
Waxed Weathered Copper;minecraft:waxed_weathered_copper;#6c996e;(108, 153, 110)
Weathered Copper;minecraft:weathered_copper;#6c996e;(108, 153, 110)
Emerald Block;minecraft:emerald_block;#2acb58;(42, 203, 88)
Emerald Ore;minecraft:emerald_ore;#6c8874;(108, 136, 116)
Waxed Weathered Copper Bulb;minecraft:waxed_weathered_copper_bulb;#40674C;(64, 103, 76)
Weathered Copper Bulb;minecraft:weathered_copper_bulb;#40674C;(64, 103, 76)
Deepslate Emerald Ore;minecraft:deepslate_emerald_ore;#4e6858;(78, 104, 88)
Waxed Weathered Chiseled Copper;minecraft:waxed_weathered_chiseled_copper;#487158;(72, 113, 88)
Weathered Chiseled Copper;minecraft:weathered_chiseled_copper;#487158;(72, 113, 88)
Waxed Weathered Copper Grate;minecraft:waxed_weathered_copper_grate;#30483C;(48, 72, 60)
Weathered Copper Grate;minecraft:weathered_copper_grate;#30483C;(48, 72, 60)
Waxed Oxidized Copper Bulb;minecraft:waxed_oxidized_copper_bulb;#254739;(37, 71, 57)
Oxidized Copper Bulb;minecraft:oxidized_copper_bulb;#254739;(37, 71, 57)
Dark Prismarine;minecraft:dark_prismarine;#345c4c;(52, 92, 76)
Waxed Oxidized Cut Copper;minecraft:waxed_oxidized_cut_copper;#509a7e;(80, 154, 126)
Oxidized Cut Copper;minecraft:oxidized_cut_copper;#509a7e;(80, 154, 126)
White Glazed Terracotta;minecraft:white_glazed_terracotta;#bcd4cb;(188, 212, 203)
Waxed Oxidized Copper;minecraft:waxed_oxidized_copper;#52a385;(82, 163, 133)
Oxidized Copper;minecraft:oxidized_copper;#52a385;(82, 163, 133)
Oxidized Copper Grate;minecraft:oxidized_copper_grate;#59B292;(89, 178, 146)
Waxed Oxidized Copper Grate;minecraft:waxed_oxidized_copper_grate;#59B292;(89, 178, 146)
Waxed Oxidized Chiseled Copper;minecraft:waxed_oxidized_chiseled_copper;#39725E;(57, 114, 94)
Oxidized Chiseled Copper;minecraft:oxidized_chiseled_copper;#39725E;(57, 114, 94)
Polished Andesite;minecraft:polished_andesite;#848786;(132, 135, 134)
Prismarine Bricks;minecraft:prismarine_bricks;#63ac9e;(99, 172, 158)
Warped Nylium;minecraft:warped_nylium;#2b7265;(43, 114, 101)
Warped Planks;minecraft:warped_planks;#2b6963;(43, 105, 99)
Prismarine;minecraft:prismarine;#639c97;(99, 156, 151)
Stripped Warped Stem;minecraft:stripped_warped_stem;#34817c;(52, 129, 124)
Diamond Block;minecraft:diamond_block;#62ede4;(98, 237, 228)
Stripped Warped Hyphae;minecraft:stripped_warped_hyphae;#3a9794;(58, 151, 148)
Chiseled Tuff;minecraft:chiseled_tuff;#5C6565;(92, 101, 101)
Polished Tuff;minecraft:polished_tuff;#484E4E;(72, 78, 78)
Diamond Ore;minecraft:diamond_ore;#798d8d;(121, 141, 141)
Polished Deepslate;minecraft:polished_deepslate;#484949;(72, 73, 73)
Snow Block;minecraft:snow_block;#f9fefe;(249, 254, 254)
Warped Stem;minecraft:warped_stem;#356e6e;(53, 110, 110)
Cyan Terracotta;minecraft:cyan_terracotta;#575b5b;(87, 91, 91)
Powder Snow;minecraft:powder_snow;#f8fdfd;(248, 253, 253)
Warped Wart Block;minecraft:warped_wart_block;#177879;(23, 120, 121)
Deepslate Diamond Ore;minecraft:deepslate_diamond_ore;#536a6b;(83, 106, 107)
Cyan Wool;minecraft:cyan_wool;#158a91;(21, 138, 145)
Cyan Concrete Powder;minecraft:cyan_concrete_powder;#25949d;(37, 148, 157)
Cyan Glazed Terracotta;minecraft:cyan_glazed_terracotta;#34777d;(52, 119, 125)
Light Gray Glazed Terracotta;minecraft:light_gray_glazed_terracotta;#90a6a8;(144, 166, 168)
Glass;minecraft:glass;#b0d6db;(176, 214, 219)
White Concrete;minecraft:white_concrete;#cfd5d6;(207, 213, 214)
Cyan Concrete;minecraft:cyan_concrete;#157788;(21, 119, 136)
Tuff Bricks;minecraft:tuff_bricks;#4C5355;(76, 83, 85)
Light Blue Concrete Powder;minecraft:light_blue_concrete_powder;#4ab5d5;(74, 181, 213)
Sculk;minecraft:sculk;#0d1e24;(13, 30, 36)
Sculk Catalyst;minecraft:sculk_catalyst;#0f2026;(15, 32, 38)
Light Blue Wool;minecraft:light_blue_wool;#3aafd9;(58, 175, 217)
White Wool;minecraft:white_wool;#eaeced;(234, 236, 237)
Cyan Stained Glass;minecraft:cyan_stained_glass;#4c7f99;(76, 127, 153)
Gray Glazed Terracotta;minecraft:gray_glazed_terracotta;#535a5e;(83, 90, 94)
Light Blue Concrete;minecraft:light_blue_concrete;#2489c7;(36, 137, 199)
Light Blue Glazed Terracotta;minecraft:light_blue_glazed_terracotta;#5fa5d1;(95, 165, 209)
Gray Wool;minecraft:gray_wool;#3f4448;(63, 68, 72)
Gray Concrete Powder;minecraft:gray_concrete_powder;#4d5155;(77, 81, 85)
White Concrete Powder;minecraft:white_concrete_powder;#e2e3e4;(226, 227, 228)
Light Blue Stained Glass;minecraft:light_blue_stained_glass;#6699d8;(102, 153, 216)
Gray Concrete;minecraft:gray_concrete;#373a3e;(55, 58, 62)
Blue Ice;minecraft:blue_ice;#74a8fd;(116, 168, 253)
Ice;minecraft:ice;#92b8fe;(146, 184, 254)
Packed Ice;minecraft:packed_ice;#8eb4fa;(142, 180, 250)
Lodestone;minecraft:lodestone;#939599;(147, 149, 153)
Lapis Block;minecraft:lapis_block;#1f438c;(31, 67, 140)
Lapis Ore;minecraft:lapis_ore;#6b768d;(107, 118, 141)
Deepslate Lapis Ore;minecraft:deepslate_lapis_ore;#505b73;(80, 91, 115)
Black Concrete Powder;minecraft:black_concrete_powder;#191b20;(25, 27, 32)
Black Concrete;minecraft:black_concrete;#080a0f;(8, 10, 15)
Clay;minecraft:clay;#a1a6b3;(161, 166, 179)
Tube Coral Block;minecraft:tube_coral_block;#3157cf;(49, 87, 207)
Blue Stained Glass;minecraft:blue_stained_glass;#334cb2;(51, 76, 178)
Blue Glazed Terracotta;minecraft:blue_glazed_terracotta;#2f418b;(47, 65, 139)
Smithing Table;minecraft:smithing_table;#393b47;(57, 59, 71)
Warped Hyphae;minecraft:warped_hyphae;#3a3b4e;(58, 59, 78)
Blue Wool;minecraft:blue_wool;#35399d;(53, 57, 157)
Blue Concrete Powder;minecraft:blue_concrete_powder;#4649a7;(70, 73, 167)
Blue Concrete;minecraft:blue_concrete;#2d2f8f;(45, 47, 143)
Deepslate;minecraft:deepslate;#575759;(87, 87, 89)
Basalt;minecraft:basalt;#515156;(81, 81, 86)
Cobbled Deepslate;minecraft:cobbled_deepslate;#4d4d51;(77, 77, 81)
Polished Diorite;minecraft:polished_diorite;#c1c1c3;(193, 193, 195)
Deepslate Coal Ore;minecraft:deepslate_coal_ore;#4a4a4c;(74, 74, 76)
Black Wool;minecraft:black_wool;#15151a;(21, 21, 26)
Chiseled Deepslate;minecraft:chiseled_deepslate;#363637;(54, 54, 55)
Polished Basalt;minecraft:polished_basalt;#636365;(99, 99, 101)
Andesite;minecraft:andesite;#888889;(136, 136, 137)
Light Blue Terracotta;minecraft:light_blue_terracotta;#716d8a;(113, 109, 138)
Smooth Basalt;minecraft:smooth_basalt;#49484e;(73, 72, 78)
Obsidian;minecraft:obsidian;#0f0b19;(15, 11, 25)
Amethyst Block;minecraft:amethyst_block;#8662bf;(134, 98, 191)
Respawn Anchor;minecraft:respawn_anchor;#221634;(34, 22, 52)
Blue Terracotta;minecraft:blue_terracotta;#4a3c5b;(74, 60, 91)
Crying Obsidian;minecraft:crying_obsidian;#210a3c;(33, 10, 60)
Polished Blackstone;minecraft:polished_blackstone;#353139;(53, 49, 57)
Purple Concrete;minecraft:purple_concrete;#64209c;(100, 32, 156)
Purple Stained Glass;minecraft:purple_stained_glass;#7f3fb2;(127, 63, 178)
Purple Glazed Terracotta;minecraft:purple_glazed_terracotta;#6e3098;(110, 48, 152)
Purple Wool;minecraft:purple_wool;#7a2aad;(122, 42, 173)
Purple Concrete Powder;minecraft:purple_concrete_powder;#8438b2;(132, 56, 178)
Chiseled Polished Blackstone;minecraft:chiseled_polished_blackstone;#363139;(54, 49, 57)
Tinted Glass;minecraft:tinted_glass;#2c262f;(44, 38, 47)
Polished Blackstone Bricks;minecraft:polished_blackstone_bricks;#302b32;(48, 43, 50)
Magenta Stained Glass;minecraft:magenta_stained_glass;#b24cd8;(178, 76, 216)
Mud;minecraft:mud;#3c393d;(60, 57, 61)
Cobblestone;minecraft:cobblestone;#807f80;(128, 127, 128)
Diorite;minecraft:diorite;#bdbcbd;(189, 188, 189)
Chiseled Stone Bricks;minecraft:chiseled_stone_bricks;#787778;(120, 119, 120)
Purpur Block;minecraft:purpur_block;#aa7eaa;(170, 126, 170)
Blast Furnace;minecraft:blast_furnace;#515051;(81, 80, 81)
Blackstone;minecraft:blackstone;#2a242a;(42, 36, 42)
